year_month,kwh,price,meralco_rate,avg_temperature,avg_humidity,total_rainfall_mm,holiday_count,weekend_count,hot_days_count,rainy_days_count,is_el_nino
2022-01,330.92,3217.67,9.7234,25.3,74.8,26.5,2,10,4,4,0
2022-02,282.48,2784.72,9.8581,24.5,72.1,12.7,1,8,4,5,0
2022-03,401.22,3927.5,9.7889,27.7,63.7,28.5,0,8,7,4,0
2022-04,439.29,4360.17,9.9255,29.1,65.7,40.7,2,9,12,4,0
2022-05,419.76,4244.32,10.1113,30.0,74.5,144.7,2,9,16,14,0
2022-06,318.63,3256.27,10.2196,27.8,79.9,247.8,1,8,8,22,0
2022-07,265.89,2687.62,10.108,27.4,83.4,288.3,1,10,4,30,0
2022-08,254.99,2580.07,10.1183,27.4,87.2,339.1,2,8,2,28,0
2022-09,249.16,2571.08,10.319,26.6,86.0,251.8,1,8,4,23,0
2022-10,280.92,2869.51,10.2147,27.7,84.2,225.2,1,10,3,19,0
2022-11,299.83,3049.66,10.1713,26.1,78.2,101.8,2,8,4,12,0
2022-12,361.8,3675.96,10.1602,26.6,76.9,33.1,4,9,4,5,0
2023-01,342.7,3573.4,10.4272,25.6,75.4,19.5,2,9,4,3,0
2023-02,375.01,3918.89,10.4501,26.3,71.5,9.5,1,8,1,2,0
2023-03,410.61,4381.17,10.6699,27.7,74.8,14.1,0,8,5,4,0
2023-04,500.92,5331.59,10.6436,30.2,67.1,23.4,2,10,12,4,0
2023-05,427.77,4625.26,10.8125,30.2,71.7,82.4,2,8,17,13,0
2023-06,335.03,3602.28,10.7521,30.2,84.3,177.3,1,8,10,13,1
2023-07,344.5,3696.42,10.7298,30.0,81.6,189.9,1,10,6,14,1
2023-08,306.58,3381.03,11.0282,28.8,89.2,128.5,2,8,4,17,1
2023-09,314.86,3408.89,10.8267,29.3,85.4,163.8,1,9,9,13,1
2023-10,351.33,3906.19,11.1183,29.9,85.0,101.3,1,9,7,11,1
2023-11,372.09,4154.79,11.1661,29.1,78.5,47.9,2,8,7,9,1
2023-12,449.5,5080.92,11.3035,28.1,76.6,20.4,4,10,3,2,1
2024-01,414.39,4687.83,11.3126,27.1,75.2,10.0,2,8,5,0,1
2024-02,388.23,4584.22,11.808,27.9,69.0,9.7,1,8,2,0,1
2024-03,456.42,5237.69,11.4756,29.4,70.9,11.2,0,10,10,0,1
2024-04,477.63,5613.78,11.7534,29.4,68.8,39.2,2,8,13,5,0
2024-05,458.26,5359.3,11.6949,30.4,75.8,110.4,2,8,15,13,0
2024-06,335.88,3862.89,11.5008,28.7,79.5,228.5,1,10,10,18,0
2024-07,294.72,3494.73,11.8578,27.0,87.0,229.1,1,8,4,22,0
2024-08,280.35,3315.39,11.8259,29.1,86.0,161.6,2,9,6,22,0
2024-09,300.47,3605.31,11.9989,27.3,89.4,207.3,1,9,5,19,0
2024-10,327.08,3895.75,11.9107,28.1,86.4,220.3,1,8,5,15,0
2024-11,371.81,4507.75,12.1238,28.1,78.9,93.6,2,9,4,13,0
2024-12,407.41,4907.17,12.0448,26.4,78.3,27.9,4,9,1,4,0
2025-01,386.34,4543.94,11.7615,26.3,73.0,30.2,2,8,5,5,0
2025-02,353.92,4196.71,11.8578,25.3,74.5,14.0,1,8,4,3,0
2025-03,414.57,4917.3,11.8612,27.0,70.3,25.0,0,10,9,3,0
2025-04,458.73,5454.48,11.8904,29.0,60.7,33.2,2,8,13,7,0
2025-05,412.48,4950.46,12.0017,28.2,72.9,67.8,2,9,15,13,0
2025-06,296.78,3647.19,12.2892,26.9,80.0,276.4,1,9,7,22,0
2025-07,288.22,3476.86,12.0632,28.1,83.3,357.1,1,8,2,30,0
2025-08,293.83,3584.78,12.2002,28.5,87.1,326.4,2,10,4,27,0
2025-09,291.77,3594.29,12.3189,28.0,84.2,243.5,1,8,7,25,0
2025-10,324.91,4068.23,12.5211,28.5,85.2,191.3,1,8,7,19,0
2025-11,306.88,3833.79,12.4928,27.0,74.5,70.2,2,10,3,13,0
2025-12,377.1,4720.88,12.5189,25.4,69.9,42.1,4,8,0,7,0
